Offer                                         Publisher    Sku                           Urn                                                                                          Version
--------------------------------------------  -----------  ----------------------------  -------------------------------------------------------------------------------------------  ---------------
0001-com-ubuntu-confidential-vm-experimental  Canonical    18_04                         Canonical:0001-com-ubuntu-confidential-vm-experimental:18_04:18.04.20210309                  18.04.20210309
0001-com-ubuntu-confidential-vm-experimental  Canonical    18_04-gen2                    Canonical:0001-com-ubuntu-confidential-vm-experimental:18_04-gen2:18.04.20210309             18.04.20210309
0001-com-ubuntu-confidential-vm-experimental  Canonical    20_04                         Canonical:0001-com-ubuntu-confidential-vm-experimental:20_04:20.04.20210309                  20.04.20210309
0001-com-ubuntu-confidential-vm-experimental  Canonical    20_04-gen2                    Canonical:0001-com-ubuntu-confidential-vm-experimental:20_04-gen2:20.04.20210309             20.04.20210309
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202111100                20.04.202111100
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202112020                20.04.202112020
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202112060                20.04.202112060
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202112120                20.04.202112120
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202201060                20.04.202201060
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202201180                20.04.202201180
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202201310                20.04.202201310
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202202151                20.04.202202151
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-cvm:20.04.202203070                20.04.202203070
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202107090               20.04.202107090
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202107200               20.04.202107200
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202109080               20.04.202109080
0001-com-ubuntu-confidential-vm-focal         Canonical    20_04-lts-gen2                Canonical:0001-com-ubuntu-confidential-vm-focal:20_04-lts-gen2:20.04.202110290               20.04.202110290
0001-com-ubuntu-confidential-vm-test-focal    Canonical    20_04-lts-cvm                 Canonical:0001-com-ubuntu-confidential-vm-test-focal:20_04-lts-cvm:20.04.202201250           20.04.202201250
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202202160        20.04.202202160
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202202180        20.04.202202180
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202202190        20.04.202202190
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202202220        20.04.202202220
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202202240        20.04.202202240
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202203010        20.04.202203010
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts       Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts:20.04.202203030        20.04.202203030
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202202160   20.04.202202160
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202202180   20.04.202202180
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202202190   20.04.202202190
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202202220   20.04.202202220
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202202240   20.04.202202240
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202203010   20.04.202203010
0001-com-ubuntu-minimal-focal-daily           Canonical    minimal-20_04-daily-lts-gen2  Canonical:0001-com-ubuntu-minimal-focal-daily:minimal-20_04-daily-lts-gen2:20.04.202203030   20.04.202203030
0001-com-ubuntu-minimal-groovy-daily          Canonical    minimal-20_10-daily-gen2      Canonical:0001-com-ubuntu-minimal-groovy-daily:minimal-20_10-daily-gen2:20.10.202011110      20.10.202011110
