ResourceType      Locations    Name                       Zones    Restrictions
----------------  -----------  -------------------------  -------  ------------------------------------------------------------------------------------------------------------------------------------------------------
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   Premium_LRS                1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   StandardSSD_LRS            1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   Standard_LRS               1,2,3    None
disks             westeurope   UltraSSD_LRS               1,2,3    None
hostGroups/hosts  westeurope   DADSv5-Type1               1,3      None
hostGroups/hosts  westeurope   DASv4-Type1                1,2,3    None
hostGroups/hosts  westeurope   DASv4-Type2                1,3      None
hostGroups/hosts  westeurope   DASv5-Type1                1,3      None
hostGroups/hosts  westeurope   DCSv2-Type1                1,2,3    None
hostGroups/hosts  westeurope   DDSv4-Type1                1,2,3    None
hostGroups/hosts  westeurope   DDSv4-Type2                1,2,3    None
hostGroups/hosts  westeurope   DDSv5-Type1                1,2,3    None
hostGroups/hosts  westeurope   DSv3-Type1                 1,2,3    None
hostGroups/hosts  westeurope   DSv3-Type2                 1,2,3    None
hostGroups/hosts  westeurope   DSv3-Type3                 1,2,3    None
hostGroups/hosts  westeurope   DSv3-Type4                 1,2,3    None
hostGroups/hosts  westeurope   DSv4-Type1                 1,2,3    None
hostGroups/hosts  westeurope   DSv4-Type2                 1,2,3    None
hostGroups/hosts  westeurope   DSv5-Type1                 1,2,3    None
hostGroups/hosts  westeurope   EADSv5-Type1               1,3      None
hostGroups/hosts  westeurope   EASv4-Type1                1,2,3    None
hostGroups/hosts  westeurope   EASv4-Type2                1,3      None
hostGroups/hosts  westeurope   EASv5-Type1                1,3      ['NotAvailableForSubscription, type: Location, locations: westeurope', 'NotAvailableForSubscription, type: Zone, locations: westeurope, zones: 1,2,3']
hostGroups/hosts  westeurope   EDSv4-Type1                1,2,3    None
hostGroups/hosts  westeurope   EDSv4-Type2                1,2,3    None
hostGroups/hosts  westeurope   EDSv5-Type1                1,2,3    None
hostGroups/hosts  westeurope   ESv3-Type1                 1,2,3    None
hostGroups/hosts  westeurope   ESv3-Type2                 1,2,3    None
hostGroups/hosts  westeurope   ESv3-Type3                 1,2,3    None
hostGroups/hosts  westeurope   ESv3-Type4                 1,2,3    None
hostGroups/hosts  westeurope   ESv4-Type1                 1,2,3    None
hostGroups/hosts  westeurope   ESv4-Type2                 1,2,3    None
